Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
Last session of the day  http://twitpic.com/67ezh,-1,-1_happy_love_morning_bye,"['happy', 'love', 'morning', 'bye', 'glad', 'hey', 'yay', 'day', 'thanks', 'haha']","['http://twitpic.com/4ja8r - Tell me, how can you not love someone like this?', ' hi ya demi! im glad ur back   http://twitpic.com/4vuuy i personally love the picture! haha', 'Morning everyone sorry for going early last night had bad news, felt totally ****   Today is a new day']",happy - love - morning - bye - glad - hey - yay - day - thanks - haha,0.0,False
 Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,0,0_twitter_tweet_tweets_twitterland,"['twitter', 'tweet', 'tweets', 'twitterland', 'tweetdeck', 'tweat', 'facebook', 'follow', 'blog', 'messages']","[' look who I found just for you  --->  http://twitter.com/DJT2009', 'First time to Twitter..', 'right im out of here peeps.. i hope  fixes twitter mobile so i can tweet from the race.. m.twitter has been down for 4 days  #fail']",twitter - tweet - tweets - twitterland - tweetdeck - tweat - facebook - follow - blog - messages,0.5211744513513745,False
"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",1,1_hollyoaks_cried_concert_watch,"['hollyoaks', 'cried', 'concert', 'watch', 'bgt', 'watched', 'song', 'hyped', 'live', 'watching']","['Just listened to condre scr and got an invitation to watch their live concert on June 20th in Munich http://bit.ly/DAXA0  #postrock', 'oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz', 'I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough']",hollyoaks - cried - concert - watch - bgt - watched - song - hyped - live - watching,0.5790406959325755,False
 happy bday!,-1,-1_happy_love_morning_bye,"['happy', 'love', 'morning', 'bye', 'glad', 'hey', 'yay', 'day', 'thanks', 'haha']","['http://twitpic.com/4ja8r - Tell me, how can you not love someone like this?', ' hi ya demi! im glad ur back   http://twitpic.com/4vuuy i personally love the picture! haha', 'Morning everyone sorry for going early last night had bad news, felt totally ****   Today is a new day']",happy - love - morning - bye - glad - hey - yay - day - thanks - haha,0.0,False
 http://twitpic.com/4w75p - I like it!!,-1,-1_happy_love_morning_bye,"['happy', 'love', 'morning', 'bye', 'glad', 'hey', 'yay', 'day', 'thanks', 'haha']","['http://twitpic.com/4ja8r - Tell me, how can you not love someone like this?', ' hi ya demi! im glad ur back   http://twitpic.com/4vuuy i personally love the picture! haha', 'Morning everyone sorry for going early last night had bad news, felt totally ****   Today is a new day']",happy - love - morning - bye - glad - hey - yay - day - thanks - haha,0.0,False
 that`s great!! weee!! visitors!,3,3_sunshine_sun_raining_monsoon,"['sunshine', 'sun', 'raining', 'monsoon', 'sunscreen', 'weathers', 'rain', 'weather', 'tan', 'day']","['Got caught in the rain. Sand Monsoon all the way home, even though i looked like a complete idiot', 'oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent', ' oh, that is very nice!! I will do something nice next week ~ going to Madrid next weekend for few days']",sunshine - sun - raining - monsoon - sunscreen - weathers - rain - weather - tan - day,0.9471242785805943,False
I THINK EVERYONE HATES ME ON HERE   lol,5,5_life_depressed_miserable_happy,"['life', 'depressed', 'miserable', 'happy', 'feeling', 'feel', 'honesty', 'hate', 'things', 'wish']","['the best things in life are free  x', "" Thank you! You should know that I am both happy and sad (all at the same time) to know that. You`ve got 'The Right Stuff'"", '  im really sorry i know wallah how u feel this life is shittttttttt']",life - depressed - miserable - happy - feeling - feel - honesty - hate - things - wish,1.0,False
" soooooo wish i could, but im in school and myspace is completely blocked",0,0_twitter_tweet_tweets_twitterland,"['twitter', 'tweet', 'tweets', 'twitterland', 'tweetdeck', 'tweat', 'facebook', 'follow', 'blog', 'messages']","[' look who I found just for you  --->  http://twitter.com/DJT2009', 'First time to Twitter..', 'right im out of here peeps.. i hope  fixes twitter mobile so i can tweet from the race.. m.twitter has been down for 4 days  #fail']",twitter - tweet - tweets - twitterland - tweetdeck - tweat - facebook - follow - blog - messages,0.6726848040734442,False
 and within a short time of the last clue all of them,-1,-1_happy_love_morning_bye,"['happy', 'love', 'morning', 'bye', 'glad', 'hey', 'yay', 'day', 'thanks', 'haha']","['http://twitpic.com/4ja8r - Tell me, how can you not love someone like this?', ' hi ya demi! im glad ur back   http://twitpic.com/4vuuy i personally love the picture! haha', 'Morning everyone sorry for going early last night had bad news, felt totally ****   Today is a new day']",happy - love - morning - bye - glad - hey - yay - day - thanks - haha,0.0,False
 What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,-1,-1_happy_love_morning_bye,"['happy', 'love', 'morning', 'bye', 'glad', 'hey', 'yay', 'day', 'thanks', 'haha']","['http://twitpic.com/4ja8r - Tell me, how can you not love someone like this?', ' hi ya demi! im glad ur back   http://twitpic.com/4vuuy i personally love the picture! haha', 'Morning everyone sorry for going early last night had bad news, felt totally ****   Today is a new day']",happy - love - morning - bye - glad - hey - yay - day - thanks - haha,0.0,False
