Topic,Count,Name,Representation,Representative_Docs
-1,506,-1_happy_love_morning_bye,"['happy', 'love', 'morning', 'bye', 'glad', 'hey', 'yay', 'day', 'thanks', 'haha']","['http://twitpic.com/4ja8r - Tell me, how can you not love someone like this?', ' hi ya demi! im glad ur back   http://twitpic.com/4vuuy i personally love the picture! haha', 'Morning everyone sorry for going early last night had bad news, felt totally ****   Today is a new day']"
0,117,0_twitter_tweet_tweets_twitterland,"['twitter', 'tweet', 'tweets', 'twitterland', 'tweetdeck', 'tweat', 'facebook', 'follow', 'blog', 'messages']","[' look who I found just for you  --->  http://twitter.com/DJT2009', 'First time to Twitter..', 'right im out of here peeps.. i hope  fixes twitter mobile so i can tweet from the race.. m.twitter has been down for 4 days  #fail']"
1,80,1_hollyoaks_cried_concert_watch,"['hollyoaks', 'cried', 'concert', 'watch', 'bgt', 'watched', 'song', 'hyped', 'live', 'watching']","['Just listened to condre scr and got an invitation to watch their live concert on June 20th in Munich http://bit.ly/DAXA0  #postrock', 'oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz', 'I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough']"
2,67,2_morning_goodnight_night_asleep,"['morning', 'goodnight', 'night', 'asleep', 'sleep', 'waking', 'bed', 'awake', 'tonight', 'noon']","['Good morning everyone', ' Good night, Rob. Sleep well. Safe travels tomorrow!', 'reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.']"
3,64,3_sunshine_sun_raining_monsoon,"['sunshine', 'sun', 'raining', 'monsoon', 'sunscreen', 'weathers', 'rain', 'weather', 'tan', 'day']","['Got caught in the rain. Sand Monsoon all the way home, even though i looked like a complete idiot', 'oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent', ' oh, that is very nice!! I will do something nice next week ~ going to Madrid next weekend for few days']"
4,61,4_sick_nauseous_hungry_flu,"['sick', 'nauseous', 'hungry', 'flu', 'bread', 'breakfast', 'craving', 'food', 'cheese', 'pigs']","['All of a sudden I`m craving broccoli and cheese soup really bad... my mouth is watering envisioning a bread bowl in my head...', 'Really sick', 'i think the food i ate made me sick.. i no feel so good']"
5,29,5_life_depressed_miserable_happy,"['life', 'depressed', 'miserable', 'happy', 'feeling', 'feel', 'honesty', 'hate', 'things', 'wish']","['the best things in life are free  x', "" Thank you! You should know that I am both happy and sad (all at the same time) to know that. You`ve got 'The Right Stuff'"", '  im really sorry i know wallah how u feel this life is shittttttttt']"
6,29,6_mothers_mother_mama_mom,"['mothers', 'mother', 'mama', 'mom', 'mum', 'mommy', 'moms', 'mommie', 'mommies', 'mommah']","['Happy mothers day mom  ?', ' Happy Mothers Day', 'Happy Mothers Day!!!']"
7,27,7_photos_zoo_photo_outfit,"['photos', 'zoo', 'photo', 'outfit', 'stuffed', 'tyrannosaurus', 'photographing', 'flickr', 'duvet', 'jockey']","[' I could, but that would require today not to be a duvet day. I imagine that my outfit for the Wendyhouse will be photo worthy', 'This morning I rode behind a guy with a bird cage containing a plastic Tyrannosaurus rex attached to his bicycle. I couldn`t get a photo.', ""Flickr pics Chester Zoo: danwtmoon posted a photo:   'WELCOME' to Chester Zoo by Jockey  http://tinyurl.com/cq7qw8""]"
8,20,8_thanks_welcome_following_chtx7e,"['thanks', 'welcome', 'following', 'chtx7e', 'tinyurl', 'awesome', 'cool', 'check', 'fantastic', 'luck']","[' Thanks for the hint.  http://tinyurl.com/chtx7e.', ' Thanks, hope you have a good one', ' good to know   thanks']"
